id,name,sex,age,height,weight,year,season,sport,event,medal,country
98956,Evelina Raselli,F,21,170,64,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,Switzerland
98982,Milena Rai,F,25,191,72,2016,Summer,Volleyball,Volleyball Women's Volleyball,Silver,Serbia
98989,Tuukka Mikael Rask,M,26,187,80,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Finland
98992,Yuliya Sergeyevna Raskina,F,18,161,40,2000,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver,Belarus
98997,Alex Nicki Rasmussen,M,24,185,88,2008,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Denmark
99021,Hedvig Lrke Berg Rasmussen,F,22,187,79,2016,Summer,Rowing,Rowing Women's Coxless Pairs,Bronze,Denmark
99022,Mads Reinholdt Rasmussen (-Kirke),M,26,183,75,2008,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,Denmark
99022,Mads Reinholdt Rasmussen (-Kirke),M,30,183,75,2012,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Gold,Denmark
99078,Aleksey Petrovich Rastvortsev,M,26,200,119,2004,Summer,Handball,Handball Men's Handball,Bronze,Russia
99088,Paul Ratcliffe,M,26,180,72,2000,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver,UK
99114,Yuliya Ratkevi,F,27,162,58,2012,Summer,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze,Azerbaijan
99138,Noora Helena Rty,F,20,165,70,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,Finland
99149,"James Richert ""Jamie"" Rauch",M,21,196,89,2000,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,USA
99150,Jon Erich Rauch,M,21,206,104,2000,Summer,Baseball,Baseball Men's Baseball,Gold,USA
99165,Ronald Rauhe,M,18,179,82,2000,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,Germany
99165,Ronald Rauhe,M,22,179,82,2004,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold,Germany
