id,name,sex,age,height,weight,year,season,sport,event,medal,country,medal_count
2025,Ahmed bin Hasher Al-Maktoum,M,40,175,67,2004,Summer,Shooting,Shooting Men's Double Trap,Gold,United Arab Emirates,1
2112,Abdullah Al-Rashidi,M,52,183,83,2016,Summer,Shooting,Shooting Men's Skeet,Bronze,Individual Olympic Athletes,1
2134,Prince Abdullah Bin Moteb Al-Saud,M,27,178,69,2012,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Saudi Arabia,1
2170,Hadi Soua'an Al-Somaily Jaadan,M,23,191,72,2000,Summer,Athletics,Athletics Men's 400 metres Hurdles,Silver,Saudi Arabia,1
2210,Marina Alabau Neira,F,26,164,55,2012,Summer,Sailing,Sailing Women's Windsurfer,Gold,Spain,1
2306,Ruslan Vladimirovich Albegov,M,24,192,156,2012,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,Russia,1
2307,David Albelda Aliqus,M,23,182,75,2000,Summer,Football,Football Men's Football,Silver,Spain,1
2342,Nely Carla Alberto Francisca,F,29,179,90,2012,Summer,Handball,Handball Women's Handball,Bronze,Spain,1
2359,Islam-Beka Said-Tsilimovich Albiyev,M,19,165,66,2008,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,Russia,1
2379,Brigitte Albrecht-Loretan,F,31,175,64,2002,Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,Switzerland,1
2458,David Alegre Biosca,M,23,184,75,2008,Summer,Hockey,Hockey Men's Hockey,Silver,Spain,1
2460,Ramn Alegre Biosca,M,27,171,71,2008,Summer,Hockey,Hockey Men's Hockey,Silver,Spain,1
2464,Jo Qesem Ayela Aleh,F,26,171,58,2012,Summer,Sailing,Sailing Women's Two Person Dinghy,Gold,New Zealand,1
2464,Jo Qesem Ayela Aleh,F,30,171,58,2016,Summer,Sailing,Sailing Women's Two Person Dinghy,Silver,New Zealand,1
2469,Virgilijus Alekna,M,28,200,130,2000,Summer,Athletics,Athletics Men's Discus Throw,Gold,Lithuania,1
2469,Virgilijus Alekna,M,32,200,130,2004,Summer,Athletics,Athletics Men's Discus Throw,Gold,Lithuania,1
2469,Virgilijus Alekna,M,36,200,130,2008,Summer,Athletics,Athletics Men's Discus Throw,Bronze,Lithuania,1
2497,Artur Aleksanyan,M,20,190,98,2012,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Armenia,1
2497,Artur Aleksanyan,M,24,190,98,2016,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,Armenia,1
2517,Milan Aleksi,M,26,193,96,2012,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Serbia,1
2517,Milan Aleksi,M,30,193,96,2016,Summer,Water Polo,Water Polo Men's Water Polo,Gold,Serbia,1
2546,Alessandra dos Santos de Oliveira,F,26,200,85,2000,Summer,Basketball,Basketball Women's Basketball,Bronze,Brazil,1
2559,Alex Sandro Lobo Silva,M,21,177,60,2012,Summer,Football,Football Men's Football,Silver,Brazil,1
2583,Buffy-Lynne Alexander-Williams,F,23,170,69,2000,Summer,Rowing,Rowing Women's Coxed Eights,Bronze,Canada,1
2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18,179,71,2008,Summer,Football,Football Men's Football,Bronze,Brazil,1
2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22,179,71,2012,Summer,Football,Football Men's Football,Silver,Brazil,1
